StartTime: 2021-08-03 16:24:18.417,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,24:36.1,0.0361,0.9897,0.126,0.6104,-1.2207,-0.6104,82.6556,-3.1091,56.9257,0
0x50,24:36.1,0.0361,0.9873,0.1313,0.8545,-1.4648,-0.3052,82.6721,-3.0927,56.8378,0
0x50,24:36.2,0.0283,0.9956,0.1367,1.4038,-0.7935,-0.4883,82.6941,-3.0707,56.7609,0
0x50,24:36.2,0.021,0.9883,0.127,1.1597,0.4272,-0.1221,82.7161,-3.0432,56.7004,0
0x50,24:36.2,0.0254,0.9839,0.1265,0.9155,1.9531,0.9766,82.738,-3.0377,56.673,0
0x50,24:36.2,0.0322,0.9858,0.125,0.9155,2.3804,1.5259,82.749,-3.0432,56.662,0
0x50,24:36.2,0.0405,0.9902,0.1157,0.3052,2.5635,1.0986,82.7655,-3.0487,56.6565,0
0x50,24:36.2,0.0479,0.9946,0.1094,-0.7935,1.6479,0.1831,82.76,-3.0487,56.6345,0
0x50,24:36.2,0.0376,0.999,0.1128,-1.8921,0.7324,0,82.738,-3.0377,56.5906,0
0x50,24:36.2,0.0264,0.9961,0.1191,-2.7466,1.4648,0.061,82.6941,-3.0212,56.5521,0
0x50,24:36.3,0.0288,0.9927,0.1284,-3.0518,3.7231,0.2441,82.6337,-2.9993,56.5521,0
0x50,24:36.3,0.0386,0.9927,0.1323,-3.1738,5.7373,0.1221,82.5623,-2.9773,56.6071,0
0x50,24:36.3,0.0366,0.9922,0.123,-3.2959,5.249,-0.1221,82.4963,-2.9498,56.651,0
0x50,24:36.3,0.0366,0.9902,0.1211,-4.0283,3.6011,0.2441,82.4249,-2.9333,56.6675,0
0x50,24:36.3,0.0366,0.9917,0.1206,-4.5776,2.0142,0.6714,82.3425,-2.9279,56.6565,0
0x50,24:36.4,0.0415,0.9907,0.1357,-4.7607,0.9766,0.4883,82.2491,-2.9279,56.6235,0
0x50,24:36.4,0.0498,0.9897,0.1348,-4.5776,0.7324,-0.6104,82.1558,-2.9169,56.5906,0
0x50,24:36.4,0.0483,0.9951,0.1377,-4.2114,-0.3052,-2.1973,82.0679,-2.8839,56.5356,0
0x50,24:36.4,0.0459,0.999,0.1338,-4.3335,-1.3428,-3.3569,81.9855,-2.8235,56.4532,0
0x50,24:36.4,0.0361,0.9971,0.1455,-3.9063,-2.3804,-4.0283,81.9086,-2.7466,56.3489,0
0x50,24:36.5,0.0376,0.9951,0.1533,-3.1128,-3.0518,-4.1504,81.8427,-2.6642,56.239,0
0x50,24:36.5,0.0234,0.9956,0.1401,-2.8076,-3.3569,-4.2725,81.7877,-2.5763,56.1072,0
0x50,24:36.5,0.0205,0.9883,0.1372,-3.2349,-2.1362,-3.54,81.7328,-2.4939,55.9918,0
0x50,24:36.5,0.0259,0.9824,0.1265,-4.0283,-2.0752,-3.2959,81.6669,-2.4225,55.8875,0
0x50,24:36.6,0.0225,0.9863,0.1392,-4.6387,-2.2583,-2.9297,81.5845,-2.3566,55.7776,0
0x50,24:36.6,0.0176,0.9932,0.1616,-4.2114,-2.2583,-2.4414,81.4966,-2.2961,55.6842,0
0x50,24:36.6,0.0186,0.9907,0.1758,-2.8076,-0.8545,-1.3428,81.4197,-2.2522,55.6238,0
0x50,24:36.6,0.0142,0.9912,0.1558,-1.5869,2.6245,-0.9155,81.3757,-2.2083,55.6183,0
0x50,24:36.6,0.0229,0.9937,0.145,-1.2817,2.3804,-0.1831,81.3483,-2.1863,55.6183,0
0x50,24:36.6,0.0234,0.9956,0.1558,-0.7324,0.7324,0.6104,81.3263,-2.1808,55.6018,0
0x50,24:36.7,0.0205,0.9893,0.1665,0.1831,0.4272,1.4038,81.3208,-2.1863,55.5798,0
0x50,24:36.7,0.0244,0.9893,0.1641,1.5869,0.7935,2.1973,81.3318,-2.2137,55.5634,0
0x50,24:36.7,0.0156,0.9966,0.1553,2.6245,2.3804,2.6245,81.3757,-2.2467,55.5688,0
0x50,24:36.8,0.0244,0.9961,0.1494,3.0518,3.1128,3.3569,81.4307,-2.2852,55.5908,0
0x50,24:36.8,0.0278,0.9937,0.1519,3.6621,2.6855,3.7842,81.4966,-2.3401,55.6128,0
0x50,24:36.8,0.0298,0.9902,0.1533,4.5776,2.8687,3.8452,81.579,-2.4005,55.6403,0
0x50,24:36.8,0.0342,0.9951,0.1514,5.5542,3.8452,3.6621,81.6779,-2.4554,55.6842,0
0x50,24:36.8,0.0405,1.0044,0.1328,5.5542,3.1738,3.3569,81.7932,-2.5104,55.7117,0
0x50,24:36.8,0.0366,0.999,0.1392,5.5542,1.0376,3.3569,81.9031,-2.5708,55.7117,0
0x50,24:36.8,0.0405,0.9902,0.1455,6.2256,-0.5493,3.2349,82.0239,-2.6312,55.6787,0
0x50,24:36.9,0.043,0.9907,0.146,7.2021,-1.4038,2.5024,82.1558,-2.6807,55.6238,0
0x50,24:36.9,0.0459,0.9873,0.1392,7.5073,-1.3428,1.2207,82.3041,-2.7136,55.5688,0
0x50,24:36.9,0.0449,0.9839,0.1221,7.1411,-2.2583,0.1221,82.4524,-2.7246,55.481,0
0x50,24:37.0,0.0415,0.9897,0.1079,6.0425,-3.8452,-0.3052,82.5952,-2.7301,55.3656,0
0x50,24:37.0,0.0376,0.9946,0.1099,4.5166,-4.2114,-0.7324,82.7106,-2.7191,55.2283,0
0x50,24:37.0,0.0352,0.9946,0.1206,3.7842,-3.6621,-1.0986,82.7985,-2.7026,55.1074,0
