StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,50:04.1,0.0488,0.981,-0.2222,-3.9063,19.104,-6.8359,102.3871,-2.1973,58.2001,0
0x50,50:04.1,0.0503,1.0171,-0.251,-6.2256,10.9863,-13.5498,102.2882,-2.0709,58.5132,0
0x50,50:04.1,0.0415,1.0054,-0.27,-10.7422,-3.7231,-18.9209,102.1399,-1.7798,58.6176,0
0x50,50:04.1,0.0356,0.9956,-0.2666,-14.8926,-17.0288,-24.0479,101.9202,-1.3239,58.4637,0
0x50,50:04.2,0.0757,1.0249,-0.2754,-18.9209,-25.2686,-31.6772,101.6235,-0.7141,58.1342,0
0x50,50:04.2,0.1909,1.0518,-0.2432,-22.1558,-29.541,-44.4336,101.25,0.0494,57.7386,0
0x50,50:04.2,0.3643,1.0215,-0.271,-22.2168,-12.6343,-59.9365,100.8435,0.9778,57.5464,0
0x50,50:04.2,0.3315,1.0591,-0.2817,-20.0195,18.3105,-72.3877,100.481,2.0325,57.876,0
0x50,50:04.3,0.2729,1.0537,-0.3818,-12.207,32.3486,-70.8008,100.2777,3.1366,58.6395,0
0x50,50:04.3,0.3354,1.0508,-0.2178,-9.2163,14.2822,-55.481,100.1733,4.0649,59.3262,0
0x50,50:04.3,0.5869,0.9551,-0.147,-5.9814,7.5073,-27.0996,100.0635,4.4934,59.7272,0
0x50,50:04.3,0.6245,0.9019,-0.207,0.3052,24.6582,2.6245,100.058,4.2407,60.1337,0
0x50,50:04.4,0.6069,0.8311,-0.1875,4.2725,33.0811,33.5693,100.1788,3.3289,60.6775,0
0x50,50:04.4,0.502,0.8833,-0.2153,7.019,28.0762,61.2183,100.3491,1.8787,61.1334,0
0x50,50:04.4,0.3784,0.9536,-0.2192,4.6387,14.8315,85.144,100.5029,0.0549,61.2982,0
0x50,50:04.4,0.2544,0.9912,-0.2241,2.8687,-3.1128,105.2856,100.6128,-2.0325,61.0565,0
0x50,50:04.4,0.1797,1.0288,-0.2422,5.188,-15.8081,118.5913,100.7501,-4.2957,60.4248,0
