StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,01:59.3,0.1431,0.9521,-0.189,11.9019,5.6152,-34.3018,104.1614,-11.5741,50.3284,0
0x50,01:59.3,0.1548,0.9438,-0.2085,15.3198,6.958,-31.311,104.3866,-10.9753,50.6689,0
0x50,01:59.3,0.1406,0.9258,-0.2441,16.6016,-0.8545,-26.8555,104.6997,-10.426,50.8173,0
0x50,01:59.3,0.1626,0.9233,-0.2593,17.395,-6.2866,-24.5361,105.0513,-9.9097,50.8502,0
0x50,01:59.3,0.0664,0.9785,-0.2041,15.8081,-8.667,-22.8271,105.3369,-9.3549,50.8392,0
0x50,01:59.4,0.1333,0.9727,-0.207,16.4185,-19.6533,-21.4233,105.661,-8.822,50.625,0
0x50,01:59.4,0.2021,0.9282,-0.2881,19.5923,-18.8599,-21.4233,106.106,-8.3441,50.4218,0
0x50,01:59.4,0.1758,0.9209,-0.3442,21.4844,-15.7471,-21.6064,106.6113,-7.8662,50.2625,0
0x50,01:59.4,0.1797,0.8931,-0.4102,21.6064,-15.0146,-20.0806,107.1606,-7.4268,50.0977,0
0x50,01:59.4,0.1768,0.9106,-0.375,19.3481,-12.9395,-20.0195,107.6221,-7.0038,49.9988,0
0x50,01:59.5,0.103,0.9238,-0.2969,20.0195,-6.8359,-20.3857,108.0231,-6.5643,50.0317,0
0x50,01:59.5,0.02,1,-0.1831,19.2871,-12.6343,-19.4092,108.3252,-6.0645,49.9933,0
0x50,01:59.5,0.0088,1.0386,-0.2114,18.0054,-19.5313,-18.1885,108.6218,-5.5371,49.8065,0
0x50,01:59.5,0.1162,0.9775,0.001,0,0,-782.4097,0.0055,0,0,0
0x50,01:59.5,0.0347,0.895,-0.4663,17.1509,-22.3389,-13.1836,109.4678,-4.6252,49.1144,0
0x50,01:59.6,0.0405,0.9243,-0.4468,13.2446,-27.1606,-6.6528,109.8413,-4.2902,48.6639,0
0x50,01:59.6,0.1528,0.9355,-0.3804,10.8032,-17.8833,-3.2959,110.1105,-4.1583,48.4113,0
0x50,01:59.6,0.0942,0.9478,-0.3286,10.376,4.2114,-4.0894,110.2972,-4.1254,48.5925,0
0x50,01:59.6,0.0269,0.9614,-0.313,7.6904,7.6904,-3.7842,110.4071,-4.0759,48.8287,0
