StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:36.7,0.0918,0.8618,-0.1338,-4.6997,-10.0708,14.5874,94.3726,39.2651,107.1332,0
0x50,12:36.7,0.1392,0.8501,-0.146,-1.3428,15.8081,28.9307,94.2188,38.3698,106.8695,0
0x50,12:36.8,0.0596,0.9355,-0.2207,2.8687,20.0806,35.2783,94.4604,37.1997,107.1112,0
0x50,12:36.8,0.0396,0.9053,-0.271,6.1035,24.7192,50.5981,94.8779,35.9143,107.4408,0
0x50,12:36.8,-0.0874,0.9448,-0.2344,8.4229,25.8179,65.4297,95.3943,34.3542,107.8143,0
0x50,12:36.8,-0.1196,0.9883,-0.1621,8.728,16.3574,77.3315,95.8392,32.6129,108.078,0
0x50,12:36.8,-0.1621,1.0322,-0.1274,6.7139,7.7515,88.1958,96.0754,30.7013,108.056,0
0x50,12:36.8,-0.209,1.0503,-0.1084,5.9204,6.4087,96.3135,96.1578,28.6523,107.8528,0
0x50,12:36.8,-0.21,1.0425,-0.0796,6.1646,8.728,105.0415,96.2128,26.488,107.6166,0
0x50,12:36.8,-0.2051,1.0596,-0.0693,7.9956,15.2588,112.5488,96.2842,24.1754,107.4353,0
0x50,12:36.9,-0.2344,1.0771,-0.0825,11.6577,25.2686,119.9951,96.46,21.731,107.3969,0
0x50,12:36.9,-0.2349,1.106,-0.0811,13.9771,36.377,125.7935,96.7676,19.1602,107.5507,0
0x50,12:37.0,-0.2705,1.126,-0.0962,15.3198,41.748,128.7231,97.1576,16.496,107.8693,0
0x50,12:37.0,-0.2871,1.1021,-0.1191,15.0757,44.0674,132.5684,97.5696,13.8098,108.2483,0
0x50,12:37.0,-0.3647,1.0884,-0.1299,14.9536,45.8984,136.1694,97.9761,11.0852,108.6328,0
0x50,12:37.0,-0.3359,1.0854,-0.1426,13.2446,37.7808,141.6016,98.3441,8.3441,108.9679,0
