StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,07:21.8,-0.0625,0.9414,-0.3472,-1.8311,-0.4883,-16.2354,111.0773,2.4225,44.6045,0
0x50,07:21.8,-0.0859,0.9819,-0.3066,-1.3428,-10.1929,-15.3198,111.0004,2.807,44.5056,0
0x50,07:21.8,-0.0767,0.9663,-0.3203,0.3052,-14.4043,-13.7939,110.9674,3.186,44.3188,0
0x50,07:21.8,-0.1216,0.915,-0.3403,0.1831,-19.4092,-10.1318,110.9509,3.5596,44.0167,0
0x50,07:21.8,-0.104,0.897,-0.3789,2.0752,-19.5923,-5.188,110.9949,3.8232,43.6761,0
0x50,07:21.8,-0.0181,0.9106,-0.3794,0.7324,-15.8081,-3.8452,111.0059,3.9716,43.4015,0
0x50,07:21.8,-0.0146,0.9058,-0.3936,1.3428,-6.0425,-5.7373,111.0608,4.0869,43.3301,0
0x50,07:21.8,-0.0679,0.9219,-0.3809,0.1221,-5.6152,-9.0332,111.0773,4.2902,43.2916,0
0x50,07:21.9,-0.0664,0.9297,-0.3745,-1.2817,-9.7656,-11.7798,111.0498,4.5703,43.1873,0
0x50,07:21.9,-0.0708,0.9292,-0.3545,-2.5635,-10.6201,-13.0005,110.9894,4.8834,43.0829,0
0x50,07:21.9,-0.0757,0.9194,-0.3438,-1.4038,-8.2397,-13.0005,110.9509,5.1746,43.0225,0
0x50,07:21.9,-0.0786,0.9175,-0.355,0.1831,-5.0659,-15.0146,110.9564,5.4822,43.0334,0
0x50,07:21.9,-0.0913,0.9492,-0.3564,0.2441,-6.897,-17.8833,110.9619,5.8612,43.028,0
0x50,07:22.0,-0.1484,0.9688,-0.3213,-0.1221,-13.4277,-18.6157,110.9125,6.3281,42.9071,0
0x50,07:22.0,-0.0737,0.9297,-0.3623,-1.4648,-17.5781,-17.8223,110.863,6.7566,42.7094,0
0x50,07:22.0,-0.1055,0.9063,-0.3428,-0.1221,-12.6953,-19.104,110.8466,7.196,42.6105,0
0x50,07:22.0,-0.0938,0.9053,-0.3667,0,-9.3994,-21.9116,110.863,7.6465,42.594,0
0x50,07:22.0,-0.1758,0.98,-0.3584,0,-8.4839,-23.7427,110.8521,8.1738,42.605,0
0x50,07:22.1,-0.1309,0.9819,-0.3574,-2.6245,-20.6299,-22.9492,110.7587,8.7286,42.3853,0
0x50,07:22.1,-0.1113,0.9204,-0.3818,-3.1128,-17.9443,-25.4517,110.6927,9.2999,42.2369,0
0x50,07:22.1,-0.1538,0.9541,-0.3853,-4.9438,-20.9961,-28.1372,110.5774,9.9646,42.0447,0
0x50,07:22.1,-0.1216,0.9805,-0.4473,-7.9956,-23.0103,-32.0435,110.4291,10.6787,41.8524,0
0x50,07:22.1,-0.1128,1.0815,-0.394,-9.5825,-27.3438,-35.9497,110.1819,11.4752,41.6052,0
0x50,07:22.2,-0.166,1.1787,-0.1401,-8.3008,-34.8511,-38.8794,109.7754,12.3926,41.2317,0
0x50,07:22.2,-0.0723,1.1436,-0.2222,-11.2305,-31.7383,-43.0908,109.3799,13.299,40.946,0
0x50,07:22.2,-0.1948,1.0391,-0.3965,-14.6484,-23.7427,-46.0815,109.0723,14.2767,40.8197,0
0x50,07:22.2,-0.2065,0.9458,-0.5444,-19.043,-31.189,-44.9219,108.7482,15.282,40.5505,0
0x50,07:22.2,-0.1743,0.9116,-0.6274,-21.7896,-39.5508,-45.8374,108.3801,16.3257,40.1331,0
0x50,07:22.3,-0.1514,0.9941,-0.543,-23.1323,-49.3164,-48.2178,107.8583,17.4408,39.5233,0
0x50,07:22.3,-0.1514,1.0488,-0.3203,-24.353,-61.0962,-51.2085,107.0947,18.6603,38.6829,0
0x50,07:22.4,-0.1743,1.0049,-0.1367,-22.3389,-61.6455,-53.1616,106.2378,19.9127,37.8259,0
0x50,07:22.4,-0.1855,0.9668,-0.0737,-20.6299,-47.9126,-54.9927,105.4633,21.1047,37.2437,0
0x50,07:22.4,-0.2397,0.9771,-0.0654,-22.4609,-32.6538,-56.7017,104.7491,22.2638,36.9635,0
0x50,07:22.4,-0.3374,0.9077,-0.1963,-23.3765,-23.6816,-54.6875,104.1779,23.4064,36.8207,0
0x50,07:22.4,-0.417,0.8364,-0.3091,-22.9492,-26.7334,-50.6592,103.6725,24.5325,36.5625,0
0x50,07:22.4,-0.4844,0.7935,-0.3018,-23.1323,-36.6821,-47.1802,103.0627,25.675,36.0352,0
0x50,07:22.4,-0.4463,0.8018,-0.2407,-20.3247,-55.1758,-45.166,102.2717,26.8176,35.1013,0
